bytes	mtime_epoch	mime	shape	category	lane	git_blob	blob_in_canonical	cited_in_canonical_records	inspection	path
403150	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	e2d6c23b2a0e7f22ae7fbe439e65a8844251e1db	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1P/p3f_pet_validation_BeamAngleX_0_1P.json.domain.json
400358	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	d91d9e0ade8113d3a7bd1dda7aa7786b17e3bc8f	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1P/p3f_pet_validation_Muon_Energy_MINOS_0_1P.json.domain.json
393325	1786454247	text/plain	JSONL	receipt/manifest/provenance	orchestration	2fc8c40ac4ffe6e85c2e6abd2625dfb405676ee9	False			docs/orchestration/runs/standard-p4-verifier/20260811T131400Z-send-ce0cbf4b.jsonl
380445	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	0e792b3db7051cbc74b9a28b0bb266f276663518	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1C/p3f_pet_validation_Muon_Energy_MINOS_1_1C.json.domain.json
377620	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	9a61096f4399a90662681ef942dd38ada35266aa	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1C/p3f_pet_validation_MuonResolution_0_1C.json.domain.json
376401	1786035047	text/plain	JSON	receipt/manifest/provenance	PET (C)	24c30e67cd8786a40549db48e066f30d7cc63ea6	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1C/p3f_pet_validation_BeamAngleX_0_1C.json.domain.json
376391	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	207ac6fbc7557506d4b8bf4252b2fe102541fe61	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1C/p3f_pet_validation_BeamAngleY_1_1C.json.domain.json
376387	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	593174a0edf7fe09858ee3b1e89a52a548de2a28	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1C/p3f_pet_validation_BeamAngleY_0_1C.json.domain.json
376090	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	3ca8dccca77ca524b02b5dc8e22d12c2b5164b2b	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1C/p3f_pet_validation_Muon_Energy_MINERvA_1_1C.json.domain.json
376052	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	436e5adbe6a4b1914425fd8384d7ceda5b2627fc	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1C/p3f_pet_validation_Muon_Energy_MINERvA_0_1C.json.domain.json
376016	1786035047	text/plain	JSON	receipt/manifest/provenance	PET (C)	e529a549c75212db20a945a2a43293bf20592f05	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1C/p3f_pet_validation_BeamAngleX_1_1C.json.domain.json
374053	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	2a877625a47e9719726988e6199a051e54ba0a31	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1C/p3f_pet_validation_MuonResolution_1_1C.json.domain.json
372762	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	519c0d9a9af87ecb510828af590cb4e1de5d3d18	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1C/p3f_pet_validation_Muon_Energy_MINOS_0_1C.json.domain.json
281264	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	3dc465c307cf9a11ecc23897a7d94bbea1e74d8e	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1O/p3f_pet_validation_Muon_Energy_MINOS_1_1O.json.domain.json
280085	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	a338d85b3d763bbe601c08adb4a9f7d3580c75ac	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1O/p3f_pet_validation_MuonResolution_0_1O.json.domain.json
279318	1786035047	text/plain	JSON	receipt/manifest/provenance	PET (C)	5163952f17819b605402d835a2d0f99c950f24e2	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1O/p3f_pet_validation_BeamAngleX_0_1O.json.domain.json
279274	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	88d6429b20fbe17b7c2ed26c7cb6c7a8274148f9	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1O/p3f_pet_validation_Muon_Energy_MINERvA_1_1O.json.domain.json
278954	1786035048	text/plain	JSON	receipt/manifest/provenance	PET (C)	11d02b6c5c5aa7448c6cdcdab2125a6391e9e661	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1O/p3f_pet_validation_BeamAngleY_0_1O.json.domain.json
